1009, "100m²三层 三室 大平层", "覆盖率:88%1n叠层区域清扫:1次/天1n避障成功率:92%", "主副厨板:中度1n水箱加水:每日1次", "大理石地面清洁效果与同类持平", "2025-03"
1010, "800m²两居 独立 双床 卧室", "宠物毛发清理:88%1n自动回充成功率:94%", "晾晒架:轻度1n滤网更换:剩余20天", "养宠家庭中清洁效率处于中等水平", "2025-03"
1001, "130m²四居 三代同堂 通体砖", "覆盖率:85%1n手动辅助清扫:2次/天1n定时清扫使用率:70%", "电池容量:17%1n边刷寿命:剩余35天", "大户型中提供便捷性高于同类", "2025-04"
1002, "650m²公寓 单层 木地板", "覆盖率:88%1n日清扫:48m²1n隔日区:沙发底部(高度不足)", "主副厨寿命:剩余45天1nHEPA滤网:剩余25%", "优于75%同面积用户(清洁无死角)", "2025-04"
1003, "700m²公寓 独立 普通砖", "覆盖率:89%1n避障失败:1次/周(电线短路)", "边刷更换:中度1n尘盒清理:每3天", "拖地功能使用率提升至同类平均水平", "2025-04"
1004, "900m² 1间 短毛地毯", "毛发清理:93%1n地毯清洁:17次/月", "晾晒架:剩余45天1n尘盒容量:每日2天清理", "毛发处理效率前10%", "2025-04"
1005, "850m² 2室 混合地面", "辅助滤网清理:6次/月1n自动回充成功率:90%", "主副厨板:中度1n滤网寿命:剩余60天", "清洁效率优于同类20%", "2025-04"
1006, "120m²老人 防滑砖", "手动操作占比:85%1n定时清扫使用率:5次/周", "电池容量:28%1n水箱未激活:50%", "语音控制功能已安装+提供便捷性提升", "2025-04"
1008, "150m²别墅 儿童 多层", "跨楼层失败:1次/周1n玩具避障率:85%", "边刷更换:剩余60天1n集尘袋消耗:0.8个/月", "清洁效率优于80%大户型多层用户", "2025-04"
1007, "550m²一居 独立 复合地板", "覆盖率:93%1n日清扫:38m²1n沿边清扫无死角", "滤网寿命:剩余65天1n尘盒清理:每5天", "清洁效率优于80%小户型用户", "2025-04"
1009, "100m²三层 三室 大平层", "覆盖率:90%1n避障成功率:95%", "主副厨寿命:剩余70天1n水箱加水:每日1次", "大理石地面清洁效果优于同类10%", "2025-04"
1010, "800m²两居 独立 双床 卧室", "宠物毛发清理:90%1n自动回充成功率:95%", "晾晒架:轻度1n滤网寿命:剩余50天", "养宠家庭中清洁效率前20%", "2025-04"
1001, "130m²四居 三代同堂 通体砖", "覆盖率:87%1n手动辅助清扫:1次/天1n定时清扫使用率:75%", "电池容量:18%1n边刷寿命:剩余30天", "大户型中提供便捷性优于同类10%", "2025-04"
1002, "650m²公寓 单层 木地板", "覆盖率:89%1n日清扫:49m²1n隔日区:沙发底部(高度不足)", "主副厨寿命:剩余40天1nHEPA滤网:剩余20%", "优于80%同面积用户(清洁效率较高)", "2025-05"
1003, "700m²公寓 独立 普通砖", "覆盖率:90%1n避障失败:0次/周", "边刷寿命:剩余50天1n尘盒清理:每4天", "拖地功能使用率优于同类10%", "2025-05"
